Trail_name,link_AllTrails,image,Difficulty,Average_rating,number_of_reviews,Location,Location,Length,description,Tags
Lalbagh Botanical Gardens,https://www.alltrails.com/trail/india/karnataka/lalbagh-botanical-gardens,https://www.alltrails.com/api/alltrails/v2/trails/10527232/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.4,(28),,Lalbagh Botanical Garden,Length: 8.5 kmEst. 1h 59m,"This is a botanical garden in the middle of the city of Banglore. This park consists of a wide range of plants and trees and is home to several varieties of birds and wildflowers. A lot of migratory birds visit this location as well. With a lush green area, this is one of the most beautiful parks in Banglore. Enjoy the peace and tranquility of nature at this park while one destresses from the hectic daily schedule. It has a paved road throughout the park, although you might find some patches...","Bird watching, Running, Walking, No dogs, Kid friendly, Paved, Lake, Views, Wildflowers, Historic site, City walk, Fee"
Katraj - Sinhagad Trek,https://www.alltrails.com/trail/india/maharashtra/katraj-sinhagad-trek,https://www.alltrails.com/api/alltrails/v2/trails/10412388/photos/5?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.8,(38),"Pune, Maharashtra, India",,Length: 29.3 km,"Sinhagad Fort is believed to be built 2000 years ago. Carvings in the Kaundinyeshwar temple are proof of it. This fort has a lot of history associated with it, especially in terms of battles, and one such battle is the Battle of Sinhaghad. It is a strategic place with steep surrounding all around. There are only two entrances to the Fort, Kalyan Darwaza, and Pune Darwaza. This trail takes you through Pune Darwaza. 
This fort has some of the most beautiful landscapes on the isolated cliff of...","Bird watching, Hiking, Views, Wildlife, Historic site, Scramble, No shade"
Savandurga Trek,https://www.alltrails.com/trail/india/karnataka/savandurga,https://www.alltrails.com/api/alltrails/v2/trails/10343801/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.8,(33),"Magadi, Karnataka, India",,Length: 3.9 kmEst. 1h 56m,Savandurga is one of the top trekking locations nearby Banglore located at Magadi. Beautiful green environments make up the visuals of this location that are not only green but highly biodiverse as well with an ever-changing terrain. Right at the foothills lies these beautiful temples as well that is pretty famous among the pilgrims. Each of these temples that is the Savandi Veerabhadreshwara Swamy and Narasimha Swamy temples are pretty old temples and have tons of histories associated with...,"Hiking, Walking, Views, Wildflowers, Historic site, Rocky, No shade"
Kanheri Caves Trail,https://www.alltrails.com/trail/india/maharashtra/kanheri-caves-trail,https://www.alltrails.com/api/alltrails/v2/trails/11013907/photos/5?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.2,(23),,Sanjay Gandhi National Park,Length: 14.0 kmEst. 3h 25m,"Kanheri Caves is deeply nestled among the tranquil surroundings of the Sanjay Gandhi National Park, Borivali in Mumbai. It is known for its various ancient Buddhist Caves. Kanheri, known as Krishnagiri or Kanhagiri in an ancient inscription, literally means black mountain (Krishna means black and Giri is a mountain) and is mostly named after its black basaltic stone. 
Spanning from the 1st century BC to the 11th century AD, an era that saw the rise and decline of Buddhism, these caves...","Bird watching, Hiking, Mountain biking, Road biking, Walking, Partially paved, Cave, Forest, Views, Wildflowers, Wildlife, Historic site, Fee"
Sar Pass Trek: Kasol - Grahan Section 1,https://www.alltrails.com/trail/india/himachal-pradesh/grahan-section-1,https://www.alltrails.com/api/alltrails/v2/trails/11047783/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.3,(26),,Kanawar Wildlife Sanctuary,Length: 6.4 km,"Garahan is a quaint hamlet comprising of nearly 50 houses situated in the Kanawar Wildlife Sanctuary. This serene location can only be reached by foot and is a popular destination for tourists visiting Kasol. Moreover, it shares close proximity with Malana, which is another high-altitude village.
The journey to the village offers breathtaking views with a well-marked, properly maintained path. This place is incredibly picturesque and offers some of the most stunning views that one can ever...","Camping, Bird watching, Hiking, Walking, Backpacking, Forest, River, Views, Wildflowers, Wildlife, Scramble"
Rajgad Fort Trek,https://www.alltrails.com/trail/india/maharashtra/rajgad-fort-trek,https://www.alltrails.com/api/alltrails/v2/trails/11089890/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.5,(24),"Velhe, Maharashtra, India",,Length: 7.1 kmEst. 3h 20m,"Rajgarh directly translates to ""Ruling Fort"" in English, and it was the ruling fort of the Maratha Empire for almost 24 years. Chhatrapati Shivaji Maharaj, one of the greatest Maratha Kings, made this his main ruling seat until he switched it to Raigarh. It has a long history and numerous stories, myths, and legends associated with it. 
Apart from the great history, this location is known for its beautiful green environments that are not only green but highly biodiverse as well, with many...","Bird watching, Hiking, Walking, Forest, Views, Wildflowers, Wildlife, Historic site, Rocky"
Old Manali - Wayland Viewpoint Trail,https://www.alltrails.com/trail/india/himachal-pradesh/old-manali-wayland-viewpoint-trail,https://www.alltrails.com/api/alltrails/v2/trails/11065050/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.6,(23),,Dhugan Valley,Length: 5.5 kmEst. 2h 1m,The trail has its own charm and beauty and it lies in lamadug national park which is one of the most famous wildlife parks in India having enormous species of wildlife. There are various viewpoints on the way from which one can see spectacular viewpoints on the way and enjoy the freshness of the air. The trail is rich in biodiversity and best suitable for birdwatch. The summit is as beautiful as the trail is. One can experience the tranquility of the surroundings and birds chirruping around.,"Camping, Bird watching, Hiking, Backpacking, Partially paved, Forest, River, Views, Waterfall, Wildflowers, Wildlife"
Lodhi Garden Trail,https://www.alltrails.com/trail/india/delhi/lodhi-garden-trail,https://www.alltrails.com/api/alltrails/v2/trails/10261898/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Easy,4.6,(35),,Lodhi Garden,Length: 2.4 kmEst. 38m,"It is a beautiful park in the heart of one of the most populated metropolitan, Delhi. It flutters lush green with birds like black drongos, Indian tree pies, mynahs, and red-vented bulbul. This park also has a fully functional outdoor gym and a playground and is one of the perfect spots for a picnic and outing with family. 
In Lodhi Garden, visitors can explore a picturesque Rose garden and two tombs of the former rulers, Mohammed Shah Sayyid and Sikander Lodi. Additionally, there is a...","Bird watching, Running, Walking, Kid friendly, Paved, Views, Wildflowers, Wildlife, Historic site"
Vetal Tekdi Hike,https://www.alltrails.com/trail/india/maharashtra/vetal-tekdi-hike,https://www.alltrails.com/api/alltrails/v2/trails/11086377/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Easy,4.6,(37),"Pune, Maharashtra, India",,Length: 3.9 km,"Vetal Tekdi is a temple on the top of the highest hill in Pune. This hill gets its name from the temple hence the name Vetala Hill. It is a decent trek with views of Pune from the top. The vegetation on this hill is pretty decent. This is an amazing trail for people who wants a getaway from their busy everyday schedule. It also has amazing sunrise and sunset points. 
This trail begins from the Vetal Tekdi Parking Lot, which can be reached using a taxi, cab, or private vehicle. The closest...","Bird watching, Hiking, Running, Walking, Partially paved, Forest, Views, Wildflowers, Wildlife, Historic site, Scramble"
Nag Tibba Trek,https://www.alltrails.com/trail/india/uttarakhand/nag-tibba-trek,https://www.alltrails.com/api/alltrails/v2/trails/10901806/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.4,(29),"Mussoorie, Uttarakhand, India",,Length: 15.0 km,"Nag Tibba is a trek in the lesser Himalayan region and it offers scenic beauty, forest areas, and an amazing experience to camp. 
Nag Tibba means serpents peak and it is named so because it is the highest peak in the lesser Himalayan region. One of the three ranges is also named after Nag Tibba, the Nag Tibba Range. Being away from the cities and towns it is one of the best places for astrophotography. 
Wildlife and wildflowers can be found in ample amounts in this region and can also be...","Camping, Bird watching, Hiking, Walking, Backpacking, Forest, Wildflowers, Wildlife, Scramble"
Chandrashila,https://www.alltrails.com/trail/india/uttarakhand/chandrashila,https://www.alltrails.com/api/alltrails/v2/trails/10581467/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.8,(21),,Kedarnath Wildlife Sanctuary,Length: 8.4 kmEst. 4h 9m,"Chandrashila directly translates to ""Moon Rock"". It is the topmost point of the Chandranath Peak. On the same trek lies one of the Panch Kedar's temples Tugnath. It is one of the highest temples of Lord Shiva in the world and is in the same circuit as Kedarnath. 
Horses and ponies are available at Chopta for hire to take you to the top. Although not to the absolute top but till Tugnath Temple. After that one has to go on foot to reach Chandrashilla. Even though it is a steep ascent but at...","Bird watching, Hiking, Snowshoeing, Horseback riding, Partially paved, Views, Wildflowers, Historic site"
Baner and Pashan Hill Trail,https://www.alltrails.com/trail/india/maharashtra/baner-and-pashan-hill-trail,https://www.alltrails.com/api/alltrails/v2/trails/11014726/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.6,(20),,Baner-Pashan Biodiversity Park,Length: 6.1 km,"Baner Hill is a hill that separates two suburbs of Pashan and Baner in the city of Pune. This is the third highest point within the city limits, surpassed by Vetal Hill. There is a temple located at the northern foot of the hill. Views of both Baner and Pashan areas can be observed from the top of this trail. Apart from that this place is home to a plantation drive that has been taken up enthusiastically by the locals, and helped by numerous volunteers. 
This trail is excellent for jogging,...","Bird watching, Hiking, Mountain biking, Walking, Views, Wildflowers, Historic site, Scramble"
Bhagsu Nag Waterfall Trail,https://www.alltrails.com/trail/india/himachal-pradesh/bhagsu-nag-waterfall-trail,https://www.alltrails.com/api/alltrails/v2/trails/10428589/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.4,(17),"Dharmshala, Himachal Pradesh, India",,Length: 3.1 kmEst. 1h 45m,"This is a beautiful waterfall, a short distance from Bhagsu Nag Temple in Dharamshala, FYI, this waterfall is named after the temple. Apart from that this is a picturesque location with a beautiful trail. The whole region is verdant green with a multifarious of flora, fauna, and avifauna species giving a chance to explore the amazing surroundings. The chances of spotting an animal are low in this region, although there is a good population of birds found here making it a good location for...","Hiking, Walking, Kid friendly, River, Views, Waterfall, Wildlife"
Kukke Sri Subrahmanya Temple - Kumara Parvatha Trek,https://www.alltrails.com/trail/india/karnataka/kukke-sri-subrahmanya-temple-kumara-parvatha-trek,https://www.alltrails.com/api/alltrails/v2/trails/10894831/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.6,(23),,Pushpagiri Wildlife Sanctuary,Length: 19.6 kmEst. 9h 14m,"This trek starts from Kukku Subrahmanya Temple which is a famous Hindu temple that is located in Karnataka, India. It is located in the heart of the village of Subrahmanya, in Dakshina Kannada, and is surrounded by lush nature on all sides. The mountain Kumara Parvatha overlooks the temple adding a mystical charm. The trek covers a thick blanket of the lush green forest of the Pushpagiri Wildlife Sanctuary. Kumara Parvatha or Pushpagiri is the name of the peak that is hidden most of the time...","Bird watching, Hiking, Forest, River, Views, Waterfall, Wildflowers, Historic site"
Korigad Fort,https://www.alltrails.com/trail/india/maharashtra/korigad-fort,https://www.alltrails.com/api/alltrails/v2/trails/10408086/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.9,(22),"Lonavla, Maharashtra, India",,Length: 6.1 kmEst. 2h 21m,"Korigad Fort was built in the 15th century. It was built by Chatrapati Shivaji one of the greatest Maratha kings of all time. There are three temples on the top of the hill which looks sensational. 
There is a 600-step climb to reach this location, although this particular trail takes one of the lesser-known alternate routes which meets up in the middle with the regular path. This place serves as an insight into the life of Chhatrapati Shivaji. There are many architectural insights into the...","Hiking, Walking, Views, Historic site"
Kalavantin Durg - Prabalgad Fort,https://www.alltrails.com/trail/india/maharashtra/kalavantin-durg-prabalgad-fort,https://www.alltrails.com/api/alltrails/v2/trails/10767687/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.5,(25),"Panvel, Maharashtra, India",,Length: 9.8 km,"This is a beautiful fort in the spectacular Sahyadri Mountain ranges along the Western Ghats. Magnificent views of Irshalgad Fort and the Kalyan Fort are seen from this location. This fort was built in the year 1458  and has a ton of history associated with it. 
Along with that, this trail is known for its magical views and the amazing flora and fauna. Even though this trail might be challenging at times but the amazing views of the Sahyadri Mountains just make up for everything. Enjoy this...","Hiking, Walking, Views, Wildflowers, Wildlife, Historic site, Scramble, Rocky"
Jogini Waterfall,https://www.alltrails.com/trail/india/himachal-pradesh/jogini-waterfall,https://www.alltrails.com/api/alltrails/v2/trails/10982256/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.5,(18),"Manali, Himachal Pradesh, India",,Length: 6.6 km,"With a very pretty picturesque setting for a waterfall in the heart of the hills, this is a must-visit place in Manali. This waterfall is created by the stream which later on merges with Beas. It has a small pool at the bottom where tourists like to get in. Although it is suggested not to get in the pool in monsoon times as the flow of water is exponentially quick and one might get hurt because of that. 
This trail is a walk through small villages and beautiful valleys, setting of the whole...","Bird watching, Hiking, Snowshoeing, Walking, Cave, Forest, River, Views, Waterfall, Wildflowers, Historic site, Scramble, Rocky"
Neer Garh Waterfalls,https://www.alltrails.com/trail/india/uttarakhand/neer-garh-waterfalls,https://www.alltrails.com/api/alltrails/v2/trails/10916487/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.3,(17),"Rishikesh, Uttarakhand, India",,Length: 3.1 kmEst. 1h 31m,"This is a spectacular waterfall nearby Rishikesh. It comprises of three smaller falls that combine to make a bigger larger waterfall. This is a beautiful waterfall that is made up of three smaller waterfalls. Even though it is nearby the main highway these waterfalls are lesser-known and very few people visit them. As this is a location on the foothills of the Himalayas, some of the most exciting views can be observed here. 
Being in the spectacular Rishikesh the whole surroundings of this...","Bird watching, Hiking, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife"
